index	name	color	x	y	z	networks	lobe
1	L_A8m_Cont	#00ff00	-6.461	13.265	51.031	L_Cont	frontal
2	R_A8m_Cont	#0000ff	7.686	13.261	51.8	R_Cont	frontal
3	L_A8dl_Default	#ff0000	-19.099	23.884	52.148	L_Default	frontal
4	R_A8dl_Default	#00f6ff	21.53	24.208	49.652	R_Default	frontal
5	L_A9l_Default	#ff7bdc	-11.23	48.862	40.143	L_Default	frontal
6	R_A9l_Default	#ffdc7b	13.607	46.961	40.096	R_Default	frontal
7	L_A6dl_DorsAttn	#008dff	-19.947	-2.529	63.84	L_DorsAttn	frontal
8	R_A6dl_DorsAttn	#006a09	21.209	4.631	63.635	R_DorsAttn	frontal
9	L_A6m_SomMot	#9e4635	-7.162	-8.439	54.292	L_SomMot	frontal
10	R_A6m_SomMot	#3e006a	8.41	-6.228	58.972	R_SomMot	frontal
11	L_A9m_Default	#ffedff	-5.966	34.609	36.094	L_Default	frontal
12	R_A9m_Default	#8dff9e	7.454	36.005	33.806	R_Default	frontal
13	L_A10m_Default	#e500ff	-8.019	55.502	11.959	L_Default	frontal
14	R_A10m_Default	#4f7b8d	9.012	55.881	11.183	R_Default	frontal
15	L_A9-46d_SalVentAttn	#dcff00	-24.905	42.273	29.417	L_SalVentAttn	frontal
16	R_A9-46d_SalVentAttn	#ff006a	27.959	35.989	34.086	R_SalVentAttn	frontal
17	L_IFJ_Cont	#ed8400	-38.734	12.425	36.979	L_Cont	frontal
18	R_IFJ_Cont	#7b58f6	39.901	14.702	37.639	R_Cont	frontal
19	L_A46_Cont	#8d0058	-25.281	54.205	10.691	L_Cont	frontal
20	R_A46_Cont	#7b6a00	25.351	53.063	15.966	R_Cont	frontal
21	L_A9-46v_Cont	#9eb98d	-39.063	40.231	16.709	L_Cont	frontal
22	R_A9-46v_Cont	#8d6ab0	39.88	42.785	16.82	R_Cont	frontal
23	L_A8vl_Cont	#61b900	-30.216	23.595	42.658	L_Cont	frontal
24	R_A8vl_Cont	#ff9eb0	39.495	27.491	38.578	R_Cont	frontal
25	L_A6vl_DorsAttn	#002c61	-30.916	1.663	51.732	L_DorsAttn	frontal
26	R_A6vl_DorsAttn	#3ec1ff	31.422	8.073	52.52	R_DorsAttn	frontal
27	L_A10l_Default	#3e4f2c	-22.17	59.459	-6.955	L_Default	frontal
28	R_A10l_Default	#a709a7	21.88	60.799	-5.022	R_Default	frontal
29	L_A44d_Cont	#613e4f	-42.702	12.283	23.965	L_Cont	frontal
30	R_A44d_Cont	#00b98d	41.254	17.256	23.8	R_Cont	frontal
31	L_IFS_Cont	#ffd300	-44.61	30.48	13.374	L_Cont	frontal
32	R_IFS_Cont	#ff6a4f	45.264	32.93	14.032	R_Cont	frontal
33	L_A45c_Default	#00009e	-52.034	22.164	9.813	L_Default	frontal
34	R_A45c_Default	#460000	54.101	24.204	11.19	R_Default	frontal
35	L_A45r_Default	#edb9ff	-47.432	35.799	-4.086	L_Default	frontal
36	R_A45r_Default	#ca956a	49.796	36.11	-0.586	R_Default	frontal
37	L_A44op_SalVentAttn	#ff00a7	-37.082	24.625	6.186	L_SalVentAttn	frontal
38	R_A44op_SalVentAttn	#dcff7b	40.236	24.382	6.029	R_SalVentAttn	frontal
39	L_A44v_SalVentAttn	#2c46b0	-50.855	11.997	7.688	L_SalVentAttn	frontal
40	R_A44v_SalVentAttn	#9ea700	51.378	11.713	12.851	R_SalVentAttn	frontal
41	L_A14m_Default	#95d3dc	-6.572	49.528	-10.108	L_Default	frontal
42	R_A14m_Default	#b095a7	7.403	43.913	-9.555	R_Default	frontal
43	L_A12-47o_Cont	#ca84ff	-35.671	31.137	-14.206	L_Cont	frontal
44	R_A12-47o_Cont	#00ff72	39.207	35.906	-13.716	R_Cont	frontal
