index	name	color	x	y	z	networks
1	7Networks_LH_Vis_1	#781184	-33.647	-41.942	-21.283	Vis
2	7Networks_LH_Vis_2	#781185	-30.465	-35.141	-14.832	Vis
3	7Networks_LH_Vis_3	#781186	-34.548	-65.625	-15.514	Vis
4	7Networks_LH_Vis_4	#78127f	-26.215	-54.512	-6.785	Vis
5	7Networks_LH_Vis_5	#781280	-22.869	-74.146	-7.617	Vis
6	7Networks_LH_Vis_6	#781281	-21.378	-85.273	-11.822	Vis
7	7Networks_LH_Vis_7	#781282	-14.604	-37.386	-8.810	Vis
8	7Networks_LH_Vis_8	#781283	-38.132	-85.041	-9.566	Vis
9	7Networks_LH_Vis_9	#781284	-13.036	-63.147	-4.455	Vis
10	7Networks_LH_Vis_10	#781285	-7.450	-76.629	-4.855	Vis
11	7Networks_LH_Vis_11	#781287	-23.916	-96.634	-9.335	Vis
12	7Networks_LH_Vis_12	#781288	-14.426	-51.435	0.242	Vis
13	7Networks_LH_Vis_13	#781289	-43.477	-72.892	4.595	Vis
14	7Networks_LH_Vis_14	#78128a	-9.307	-94.948	-3.521	Vis
15	7Networks_LH_Vis_15	#78128b	-24.743	-93.111	4.702	Vis
16	7Networks_LH_Vis_16	#78128c	-7.477	-79.452	6.065	Vis
17	7Networks_LH_Vis_17	#78128d	-20.802	-66.019	7.125	Vis
18	7Networks_LH_Vis_18	#781386	-37.578	-82.269	13.107	Vis
19	7Networks_LH_Vis_19	#781387	-13.307	-94.989	18.277	Vis
20	7Networks_LH_Vis_20	#781388	-4.196	-87.859	20.137	Vis
21	7Networks_LH_Vis_21	#781389	-13.000	-73.136	21.775	Vis
22	7Networks_LH_Vis_22	#78138a	-27.583	-82.429	20.741	Vis
23	7Networks_LH_Vis_23	#78138b	-14.948	-85.470	35.199	Vis
24	7Networks_LH_Vis_24	#78138c	-22.199	-75.982	38.051	Vis
25	7Networks_LH_SomMot_1	#4681af	-46.374	-14.788	1.715	SomMot
26	7Networks_LH_SomMot_2	#4681b0	-51.776	-27.210	8.854	SomMot
27	7Networks_LH_SomMot_3	#4681b1	-37.691	-12.381	15.853	SomMot
28	7Networks_LH_SomMot_4	#4681b2	-34.718	-26.074	16.149	SomMot
29	7Networks_LH_SomMot_5	#4681b3	-50.067	-14.084	15.217	SomMot
30	7Networks_LH_SomMot_6	#4681b4	-53.473	-40.369	18.479	SomMot
31	7Networks_LH_SomMot_7	#4682ad	-43.044	-32.963	19.026	SomMot
32	7Networks_LH_SomMot_8	#4682ae	-59.825	-4.998	13.353	SomMot
33	7Networks_LH_SomMot_9	#4682af	-57.234	-19.868	20.170	SomMot
34	7Networks_LH_SomMot_10	#4682b0	-56.098	-8.778	28.526	SomMot
35	7Networks_LH_SomMot_11	#4682b1	-56.904	-22.361	34.716	SomMot
36	7Networks_LH_SomMot_12	#4682b2	-47.979	-10.243	39.843	SomMot
37	7Networks_LH_SomMot_13	#4682b3	-48.337	-17.442	42.502	SomMot
38	7Networks_LH_SomMot_14	#4682b5	-9.467	-11.573	43.386	SomMot
39	7Networks_LH_SomMot_15	#4682b6	-38.808	-14.211	47.281	SomMot
40	7Networks_LH_SomMot_16	#4682b7	-46.877	-29.832	53.873	SomMot
41	7Networks_LH_SomMot_17	#4682b8	-41.443	-23.000	51.887	SomMot
42	7Networks_LH_SomMot_18	#4682b9	-5.072	-23.603	49.835	SomMot
43	7Networks_LH_SomMot_19	#4682ba	-34.747	-20.685	60.590	SomMot
44	7Networks_LH_SomMot_20	#4682bb	-5.378	-9.276	59.155	SomMot
45	7Networks_LH_SomMot_21	#4683b4	-29.745	-45.180	60.085	SomMot
46	7Networks_LH_SomMot_22	#4683b5	-31.533	-30.681	59.030	SomMot
47	7Networks_LH_SomMot_23	#4683b6	-26.010	-37.203	63.755	SomMot
48	7Networks_LH_SomMot_24	#4683b7	-21.130	-13.643	64.795	SomMot
49	7Networks_LH_SomMot_25	#4683b8	-10.262	-40.936	65.948	SomMot
50	7Networks_LH_SomMot_26	#4683b9	-4.895	-26.869	67.024	SomMot
51	7Networks_LH_SomMot_27	#4683ba	-18.118	-45.875	68.456	SomMot
52	7Networks_LH_SomMot_28	#4683bb	-16.711	-32.022	66.601	SomMot
53	7Networks_LH_SomMot_29	#4684b4	-15.870	-26.628	66.586	SomMot
54	7Networks_LH_DorsAttn_Post_1	#00760a	-45.126	-49.547	-15.364	DorsAttn
55	7Networks_LH_DorsAttn_Post_2	#00760b	-42.386	-66.433	-6.343	DorsAttn
56	7Networks_LH_DorsAttn_Post_3	#00760c	-52.360	-62.153	1.164	DorsAttn
57	7Networks_LH_DorsAttn_Post_4	#00760d	-44.872	-65.165	14.095	DorsAttn
58	7Networks_LH_DorsAttn_Post_5	#00760f	-26.374	-65.661	36.621	DorsAttn
59	7Networks_LH_DorsAttn_Post_6	#007610	-51.137	-31.786	39.751	DorsAttn
60	7Networks_LH_DorsAttn_Post_7	#007611	-27.898	-56.679	45.027	DorsAttn
61	7Networks_LH_DorsAttn_Post_8	#007612	-37.869	-35.657	42.318	DorsAttn
62	7Networks_LH_DorsAttn_Post_9	#007613	-33.356	-47.847	44.872	DorsAttn
63	7Networks_LH_DorsAttn_Post_10	#007614	-17.633	-66.214	52.909	DorsAttn
64	7Networks_LH_DorsAttn_Post_11	#007615	-27.173	-57.319	57.901	DorsAttn
65	7Networks_LH_DorsAttn_Post_12	#00770e	-14.542	-55.308	62.963	DorsAttn
66	7Networks_LH_DorsAttn_FEF_1	#007616	-26.164	3.647	52.097	DorsAttn
67	7Networks_LH_DorsAttn_FEF_2	#00770f	-31.165	-6.280	49.453	DorsAttn
68	7Networks_LH_DorsAttn_FEF_3	#007710	-20.229	3.830	59.418	DorsAttn
69	7Networks_LH_DorsAttn_PrCv_1	#007711	-46.086	0.234	37.124	DorsAttn
70	7Networks_LH_SalVentAttn_ParOper_1	#c43afb	-57.150	-45.084	29.557	SalVentAttn
71	7Networks_LH_SalVentAttn_ParOper_2	#c43afc	-57.576	-32.372	24.981	SalVentAttn
72	7Networks_LH_SalVentAttn_ParOper_3	#c43afd	-58.346	-38.269	39.895	SalVentAttn
73	7Networks_LH_SalVentAttn_TempOcc_1	#c43afe	-49.364	-52.749	11.835	SalVentAttn
74	7Networks_LH_SalVentAttn_FrOperIns_1	#c43bf8	-38.657	-4.902	-5.500	SalVentAttn
75	7Networks_LH_SalVentAttn_FrOperIns_2	#c43bf9	-30.978	27.545	0.032	SalVentAttn
76	7Networks_LH_SalVentAttn_FrOperIns_3	#c43bfb	-31.980	18.685	9.282	SalVentAttn
77	7Networks_LH_SalVentAttn_FrOperIns_4	#c43bfc	-37.188	0.339	12.044	SalVentAttn
78	7Networks_LH_SalVentAttn_FrOperIns_5	#c43bfd	-44.572	13.045	2.949	SalVentAttn
79	7Networks_LH_SalVentAttn_FrOperIns_6	#c43bfe	-52.778	0.106	7.743	SalVentAttn
80	7Networks_LH_SalVentAttn_FrOperIns_7	#c43bff	-49.482	7.246	20.312	SalVentAttn
81	7Networks_LH_SalVentAttn_PFCl_1	#c134f9	-26.199	43.256	26.092	SalVentAttn
82	7Networks_LH_SalVentAttn_Med_1	#c53afb	-7.313	7.304	40.243	SalVentAttn
83	7Networks_LH_SalVentAttn_Med_2	#c53afc	-13.260	-34.774	43.222	SalVentAttn
84	7Networks_LH_SalVentAttn_Med_3	#c53afd	-7.484	-48.186	57.213	SalVentAttn
85	7Networks_LH_SalVentAttn_Med_4	#c53afe	-12.499	-8.336	69.227	SalVentAttn
86	7Networks_LH_Limbic_OFC_1	#dcf8a5	-22.959	22.218	-20.106	Limbic
87	7Networks_LH_Limbic_OFC_2	#dcf8a6	-10.610	23.210	-20.366	Limbic
88	7Networks_LH_Limbic_OFC_3	#dcf8a7	-9.807	46.290	-21.325	Limbic
89	7Networks_LH_Limbic_TempPole_1	#dcf8a3	-30.701	-5.047	-37.023	Limbic
90	7Networks_LH_Limbic_TempPole_2	#dcf8a4	-51.710	-19.857	-28.746	Limbic
91	7Networks_LH_Limbic_TempPole_3	#dcf8a8	-40.491	-19.963	-24.120	Limbic
92	7Networks_LH_Limbic_TempPole_4	#dcf8a9	-29.674	7.726	-31.732	Limbic
93	7Networks_LH_Limbic_TempPole_5	#dcf8aa	-44.659	10.636	-32.797	Limbic
94	7Networks_LH_Limbic_TempPole_6	#dcf8ab	-20.111	-20.773	-24.118	Limbic
95	7Networks_LH_Limbic_TempPole_7	#dcf8ac	-42.423	3.196	-18.324	Limbic
96	7Networks_LH_Cont_Par_1	#e69423	-50.073	-51.578	42.905	Cont
97	7Networks_LH_Cont_Par_2	#e69424	-33.077	-62.694	43.962	Cont
98	7Networks_LH_Cont_Par_3	#e69425	-40.832	-52.950	43.195	Cont
99	7Networks_LH_Cont_Par_4	#e69426	-44.533	-43.355	44.422	Cont
100	7Networks_LH_Cont_Temp_1	#e69427	-56.856	-51.419	-7.282	Cont
101	7Networks_LH_Cont_OFC_1	#e69521	-31.385	40.171	-12.014	Cont
102	7Networks_LH_Cont_PFCl_1	#e69522	-40.635	46.544	-4.258	Cont
103	7Networks_LH_Cont_PFCl_2	#e69524	-27.508	53.578	7.469	Cont
104	7Networks_LH_Cont_PFCl_3	#e69525	-39.115	38.904	13.020	Cont
105	7Networks_LH_Cont_PFCl_4	#e69526	-42.297	22.276	24.450	Cont
106	7Networks_LH_Cont_PFCl_5	#e69527	-37.520	31.802	33.676	Cont
107	7Networks_LH_Cont_PFCl_6	#e69528	-36.597	10.864	34.267	Cont
108	7Networks_LH_Cont_pCun_1	#e79523	-10.984	-74.341	45.718	Cont
109	7Networks_LH_Cont_pCun_2	#e79524	-7.718	-61.182	53.049	Cont
110	7Networks_LH_Cont_Cing_1	#e79525	-5.046	-28.898	28.293	Cont
111	7Networks_LH_Cont_Cing_2	#e79526	-2.904	-0.686	31.077	Cont
112	7Networks_LH_Cont_PFCmp_1	#e69422	-5.802	25.618	47.060	Cont
113	7Networks_LH_Default_Temp_1	#cd3e4b	-56.413	-11.369	-18.052	Default
114	7Networks_LH_Default_Temp_2	#cd3e4c	-56.991	-36.255	-15.623	Default
115	7Networks_LH_Default_Temp_3	#cd3e4d	-52.899	4.100	-9.671	Default
