index	full_name	x	y	z
1	A8m, medial area 8	-5	15	54
2	A8m, medial area 8	7	16	54
3	A8dl, dorsolateral area 8	-18	24	53
4	A8dl, dorsolateral area 8	22	26	51
5	A9l, lateral area 9	-11	49	40
6	A9l, lateral area 9	13	48	40
7	A6dl, dorsolateral area 6	-18	-1	65
8	A6dl, dorsolateral area 6	20	4	64
9	A6m, medial area 6	-6	-5	58
10	A6m, medial area 6	7	-4	60
11	A9m,medial area 9	-5	36	38
12	A9m,medial area 9	6	38	35
13	A10m, medial area 10	-8	56	15
14	A10m, medial area 10	8	58	13
15	A9/46d, dorsal area 9/46	-27	43	31
16	A9/46d, dorsal area 9/46	30	37	36
17	IFJ, inferior frontal junction	-42	13	36
18	IFJ, inferior frontal junction	42	11	39
19	A46, area 46	-28	56	12
20	A46, area 46	28	55	17
21	A9/46v, ventral area 9/46 	-41	41	16
22	A9/46v, ventral area 9/46 	42	44	14
23	A8vl, ventrolateral area 8	-33	23	45
24	A8vl, ventrolateral area 8	42	27	39
25	A6vl, ventrolateral area 6	-32	4	55
26	A6vl, ventrolateral area 6	34	8	54
27	A10l, lateral area10	-26	60	-6
28	A10l, lateral area10	25	61	-4
29	A44d,dorsal area 44	-46	13	24
30	A44d,dorsal area 44	45	16	25
31	IFS, inferior frontal sulcus	-47	32	14
32	IFS, inferior frontal sulcus	48	35	13
33	A45c, caudal area 45	-53	23	11
34	A45c, caudal area 45	54	24	12
35	A45r, rostral area 45	-49	36	-3
36	A45r, rostral area 45	51	36	-1
37	A44op, opercular area 44	-39	23	4
38	A44op, opercular area 44	42	22	3
39	A44v, ventral area 44	-52	13	6
40	A44v, ventral area 44	54	14	11
41	A14m, medial area 14	-7	54	-7
42	A14m, medial area 14	6	47	-7
43	A12/47o, orbital area 12/47	-36	33	-16
44	A12/47o, orbital area 12/47	40	39	-14
45	A11l, lateral area 11	-23	38	-18
46	A11l, lateral area 11	23	36	-18
47	A11m, medial area 11	-6	52	-19
48	A11m, medial area 11	6	57	-16
49	A13, area 13	-10	18	-19
50	A13, area 13	9	20	-19
51	A12/47l, lateral area 12/47	-41	32	-9
52	A12/47l, lateral area 12/47	42	31	-9
53	A4hf, area 4(head and face region)	-49	-8	39
54	A4hf, area 4(head and face region)	55	-2	33
55	A6cdl, caudal dorsolateral area 6	-32	-9	58
56	A6cdl, caudal dorsolateral area 6	33	-7	57
57	A4ul, area 4(upper limb region)	-26	-25	63
58	A4ul, area 4(upper limb region)	34	-19	59
59	A4t, area 4(trunk region)	-13	-20	73
60	A4t, area 4(trunk region)	15	-22	71
61	A4tl, area 4(tongue and larynx region)	-52	0	8
62	A4tl, area 4(tongue and larynx region)	54	4	9
63	A6cvl, caudal ventrolateral area 6	-49	5	30
64	A6cvl, caudal ventrolateral area 6	51	7	30
65	A1/2/3ll, area1/2/3 (lower limb region)	-8	-38	58
66	A1/2/3ll, area1/2/3 (lower limb region)	10	-34	54
67	A4ll, area 4, (lower limb region)	-4	-23	61
68	A4ll, area 4, (lower limb region)	5	-21	61
69	A38m, medial area 38	-32	14	-34
70	A38m, medial area 38	31	15	-34
71	A41/42, area 41/42	-54	-32	12
72	A41/42, area 41/42	54	-24	11
73	TE1.0 and TE1.2	-50	-11	1
74	TE1.0 and TE1.2	51	-4	-1
75	A22c, caudal area 22	-62	-33	7
76	A22c, caudal area 22	66	-20	6
77	A38l, lateral area 38	-45	11	-20
78	A38l, lateral area 38	47	12	-20
79	A22r, rostral area 22	-55	-3	-10
80	A22r, rostral area 22	56	-12	-5
81	A21c, caudal area 21	-65	-30	-12
82	A21c, caudal area 21	65	-29	-13
83	A21r, rostral area 21	-53	2	-30
84	A21r, rostral area 21	51	6	-32
85	A37dl, dorsolateral area37	-59	-58	4
86	A37dl, dorsolateral area37	60	-53	3
87	aSTS, anterior superior temporal sulcus	-58	-20	-9
88	aSTS, anterior superior temporal sulcus	58	-16	-10
89	A20iv, intermediate ventral area 20	-45	-26	-27
